"GROUP","STN","NAME","ELEV_M","HOUR_KST","N_PAIRED_HOURS","MAE_BEFORE_C","MAE_AFTER_C","MAE_IMPROVEMENT_C"
"1","964","마량","49.92","0","365","0.6061564695335969","0.6384960014763554","-0.032339531942758515"
"1","964","마량","49.92","1","365","0.6393998572594147","0.6732461328004912","-0.03384627554107644"
"1","964","마량","49.92","2","365","0.6445393873027149","0.6846058094141668","-0.04006642211145195"
"1","964","마량","49.92","3","365","0.6906859361299863","0.7243491876548344","-0.03366325152484806"
"1","964","마량","49.92","4","365","0.670425194959442","0.7003939042588914","-0.029968709299449392"
"1","964","마량","49.92","5","365","0.6699526896775861","0.6985683360033157","-0.02861564632572955"
"1","964","마량","49.92","6","365","0.6200954078899467","0.6510947328477958","-0.030999324957849184"
"1","964","마량","49.92","7","364","0.5960615753348661","0.6332100242815645","-0.03714844894669833"
"1","964","마량","49.92","8","364","0.4946426254571015","0.475815961032944","0.018826664424157535"
"1","964","마량","49.92","9","364","0.5967284284070622","0.5179231870360088","0.07880524137105338"
"1","964","마량","49.92","10","364","0.6040043309345765","0.506725783347121","0.09727854758745547"
"1","964","마량","49.92","11","364","0.568599477143538","0.4869809559986265","0.08161852114491147"
"1","964","마량","49.92","12","364","0.553845744684078","0.48759416484296814","0.06625157984110985"
"1","964","마량","49.92","13","364","0.6354308869562545","0.5764070241504361","0.059023862805818395"
"1","964","마량","49.92","14","365","0.5945897493950182","0.5469462824060988","0.047643466988919414"
"1","964","마량","49.92","15","365","0.6020455829251798","0.5685670740775872","0.033478508847592625"
"1","964","마량","49.92","16","365","0.524435011058705","0.48720118488228975","0.0372338261764153"
"1","964","마량","49.92","17","365","0.4592781132463417","0.4401454195055091","0.019132693740832596"
"1","964","마량","49.92","18","365","0.4790475971013492","0.4827999059011445","-0.003752308799795323"
"1","964","마량","49.92","19","365","0.482975735539697","0.4879959636316485","-0.005020228091951462"
"1","964","마량","49.92","20","364","0.5152496839990673","0.5349360465426146","-0.019686362543547276"
"1","964","마량","49.92","21","365","0.5347233409188992","0.5456876038787549","-0.010964262959855753"
"1","964","마량","49.92","22","365","0.548652715379726","0.5590922626410023","-0.010439547261276272"
"1","964","마량","49.92","23","365","0.5904835944439409","0.6168888637838429","-0.02640526933990195"
