METHOD,n,s_err,s_err2,s_abs,MAE,RMSE,BIAS,axis,season,MONTH,band,STN
fixed_lapse,4475234,171646.33724119444,6917335.276486304,3821781.52154352,0.85398,1.24326,0.03835,overall,,,,
none,4475234,-282015.7637385056,10937163.028116316,4812335.685895159,1.07533,1.56331,-0.06302,overall,,,,
fixed_lapse,1113474,39198.61229019629,1692092.9836738324,954407.600629161,0.85714,1.23274,0.0352,season,fall,,,
none,1113474,-75548.99526780963,2574127.5291715288,1180341.9230306407,1.06005,1.52046,-0.06785,season,fall,,,
fixed_lapse,1127189,64427.484717495194,2007076.7025771088,1013806.7699102534,0.89941,1.33439,0.05716,season,spring,,,
none,1127189,-46946.610019128944,2774594.1041235146,1219366.0382496861,1.08178,1.56892,-0.04165,season,spring,,,
fixed_lapse,1127036,47845.849057820036,1328964.0523866294,867064.3314672334,0.76933,1.08589,0.04245,season,summer,,,
none,1127036,-67249.63730386176,2442065.2034675684,1142871.4328096379,1.01405,1.47201,-0.05967,season,summer,,,
fixed_lapse,1107535,20174.391175682933,1889201.5378487334,986502.8195368723,0.89072,1.30605,0.01822,season,winter,,,
none,1107535,-92270.52114770525,3146376.1913537043,1269756.291805194,1.14647,1.68549,-0.08331,season,winter,,,
fixed_lapse,380218,6327.235553414466,658358.0271199971,340700.63281649404,0.89607,1.31588,0.01664,month,,202401,,
none,380218,-32636.02921910064,1039689.5388318159,429136.4635797833,1.12866,1.65362,-0.08584,month,,202401,,
fixed_lapse,343590,11303.214270222961,507034.4390238439,276591.2231712386,0.805,1.21478,0.0329,month,,202402,,
none,343590,-23423.469476203394,817582.131212722,359085.34373890527,1.0451,1.54257,-0.06817,month,,202402,,
fixed_lapse,379935,12158.353534426271,578484.0140779949,321395.61640729266,0.84592,1.23393,0.032,month,,202403,,
none,379935,-25902.845600555804,959369.3095159754,411801.14432157745,1.08387,1.58905,-0.06818,month,,202403,,
fixed_lapse,367209,28135.602753311992,729938.3220143334,343312.82941517717,0.93492,1.40989,0.07662,month,,202404,,
none,367209,-7968.2375953053715,835617.5393222673,385956.2876284548,1.05105,1.50851,-0.0217,month,,202404,,
fixed_lapse,380045,24133.52842975693,698654.3664847806,349098.3240877835,0.91857,1.35586,0.0635,month,,202405,,
none,380045,-13075.52682326777,979607.2552852717,421608.606299654,1.10936,1.60549,-0.03441,month,,202405,,
fixed_lapse,368890,24460.819358644025,582183.7354672108,324941.40648759773,0.88086,1.25627,0.06631,month,,202406,,
none,368890,-13092.208503109203,858804.6523539915,394591.4115991751,1.06967,1.5258,-0.03549,month,,202406,,
fixed_lapse,379897,11788.587792150423,351102.12135650124,254894.51296673674,0.67096,0.96136,0.03103,month,,202407,,
none,379897,-25951.776015624306,759805.2257739158,358612.01079538895,0.94397,1.41422,-0.06831,month,,202407,,
fixed_lapse,378249,11596.44190702559,395678.19556291733,287228.41201289895,0.75936,1.02278,0.03066,month,,202408,,
none,378249,-28205.65278512826,823455.3253396611,389668.0104150737,1.03019,1.47547,-0.07457,month,,202408,,
fixed_lapse,365943,11278.515995902515,371969.5633679239,270236.9545728873,0.73847,1.0082,0.03082,month,,202409,,
none,365943,-25435.185111620704,722758.4158217445,358924.6370155004,0.98082,1.40537,-0.06951,month,,202409,,
fixed_lapse,379353,15040.237623372297,584662.3699849399,324939.6499925027,0.85656,1.24145,0.03965,month,,202410,,
none,379353,-23976.791806870464,843595.161731184,396164.0503565116,1.04432,1.49123,-0.0632,month,,202410,,
fixed_lapse,368178,12879.858670921474,735461.0503209687,359230.996063771,0.9757,1.41335,0.03498,month,,202411,,
none,368178,-26137.01834931847,1007773.9516186005,425253.23565862875,1.15502,1.65445,-0.07099,month,,202411,,
fixed_lapse,383727,2543.941352045507,723809.0717048924,369210.9635491396,0.96217,1.37341,0.00663,month,,202412,,
none,383727,-36211.02245240122,1289104.5213091664,481534.48448650556,1.25489,1.83288,-0.09437,month,,202412,,
fixed_lapse,2736954,166251.60533125032,3546920.8877677284,2179514.13526049,0.79633,1.13839,0.06074,elev_band,,,0-100,
none,2736954,-660744.0711723581,4413578.517795753,2453924.4999642824,0.89659,1.26988,-0.24142,elev_band,,,0-100,
fixed_lapse,1388480,101141.57503957089,1937879.1922101732,1157181.5425237026,0.83342,1.18139,0.07284,elev_band,,,100-500,
none,1388480,-240526.31104622918,2873353.122000209,1478091.5058976538,1.06454,1.43855,-0.17323,elev_band,,,100-500,
fixed_lapse,349800,-95746.84312962675,1432535.1965084025,485085.8437593275,1.38675,2.02368,-0.27372,elev_band,,,500-inf,
none,349800,619254.6184800817,3650231.3883203543,880319.6800332225,2.51664,3.23036,1.77031,elev_band,,,500-inf,
fixed_lapse,8759,-7306.425791551442,41269.202025459635,13660.139256823892,1.55955,2.17063,-0.83416,station,,,,116
none,8759,22079.96000780689,90876.94334071668,25313.1664387748,2.88996,3.22107,2.52083,station,,,,116
fixed_lapse,8709,1590.0519857493478,18565.166826403387,9948.077852547922,1.14228,1.46004,0.18258,station,,,,160
none,8709,25190.678938175606,91102.66643991436,26060.179679099285,2.99233,3.23431,2.89249,station,,,,160
fixed_lapse,8740,-7720.601677702199,41952.11242583723,12855.637837217451,1.4709,2.19089,-0.88336,station,,,,175
none,8740,18812.0307891004,75625.12461629347,23252.14535439698,2.66043,2.94156,2.15241,station,,,,175
fixed_lapse,8745,2599.9065327443896,14718.918423181593,8029.700988586693,0.9182,1.29735,0.2973,station,,,,230
none,8745,2251.1833035329555,14522.261946090635,7999.615440853317,0.91476,1.28866,0.25743,station,,,,230
fixed_lapse,8753,855.2827890311298,9286.281058017837,6766.328753471486,0.77303,1.03001,0.09771,station,,,,296
none,8753,-2179.9379600374755,9740.540067658343,7571.208050624531,0.86498,1.0549,-0.24905,station,,,,296
fixed_lapse,8377,-3139.9830111099777,9547.73553345073,6713.846578802594,0.80146,1.06759,-0.37483,station,,,,300
none,8377,-1269.2661255661183,8563.095789398327,6298.031879439074,0.75182,1.01105,-0.15152,station,,,,300
fixed_lapse,8706,-599.6554186906257,4280.139347147685,4353.898393519947,0.5001,0.70116,-0.06888,station,,,,301
