ELEVATION_BAND,HOUR,N_STATIONS,NONE_N_PAIRED_HOURS,NONE_BIAS_MEDIAN_C,NONE_BIAS_Q25_C,NONE_BIAS_Q75_C,NONE_BIAS_IQR_C,NONE_MAE_MEDIAN_C,NONE_MAE_Q25_C,NONE_MAE_Q75_C,NONE_MAE_IQR_C,NONE_RMSE_MEDIAN_C,NONE_RMSE_Q25_C,NONE_RMSE_Q75_C,NONE_RMSE_IQR_C,FIXED_N_PAIRED_HOURS,FIXED_BIAS_MEDIAN_C,FIXED_BIAS_Q25_C,FIXED_BIAS_Q75_C,FIXED_BIAS_IQR_C,FIXED_MAE_MEDIAN_C,FIXED_MAE_Q25_C,FIXED_MAE_Q75_C,FIXED_MAE_IQR_C,FIXED_RMSE_MEDIAN_C,FIXED_RMSE_Q25_C,FIXED_RMSE_Q75_C,FIXED_RMSE_IQR_C
100m 미만,0,315,113906,-0.18879147091253307,-0.6358435703391714,0.43202166415358634,1.0678652344927577,0.8331546141134987,0.630401170519993,1.107974758026899,0.47757358750690604,1.0810504895335684,0.8516487084563853,1.394066040419779,0.5424173319633938,113906,0.08812030624970103,-0.3892798109145878,0.5848627814384264,0.9741425923530143,0.8332960070214439,0.6374512135726939,1.068765317271074,0.4313141036983802,1.0840870120036032,0.841508119492984,1.435120734582827,0.593612615089843
100m 미만,1,315,113966,-0.18898663946895122,-0.5808112143561315,0.43128591893571316,1.0120971332918447,0.8353980006107039,0.6411124322169721,1.1099969295006762,0.46888449728370407,1.0823576343046468,0.86128914517363,1.4257693210835531,0.5644801759099232,113966,0.09905207623918912,-0.3820368440071933,0.6261609324743711,1.0081977764815644,0.8399570097650138,0.6361021421313984,1.0925585787595433,0.45645643662814495,1.0888938967919048,0.8542309986580714,1.4156074495275102,0.5613764508694388
100m 미만,2,315,113938,-0.17731443563981264,-0.5891141752931499,0.4361155866398707,1.0252297619330206,0.834806682623111,0.6394288798970962,1.1088345358978309,0.4694056560007347,1.0811173039486317,0.8593069879627804,1.410016827579862,0.5507098396170815,113938,0.11686744791306167,-0.3869283762176404,0.6509793486102367,1.037907724827877,0.8498798300117157,0.6286446219725039,1.0877373174049625,0.45909269543245856,1.109568423223749,0.8527032179127854,1.4230693219700097,0.5703661040572243
100m 미만,3,315,113952,-0.15595467662919357,-0.6023867404986596,0.4355492301184075,1.0379359706170672,0.8399802641755334,0.6405625904038827,1.1122130721706072,0.4716504817667244,1.0725399603049561,0.8560390450098736,1.400783027008233,0.5447439819983595,113952,0.13300105458751113,-0.37932972624815187,0.6436095583930819,1.0229392846412337,0.8415691851137479,0.6262309346611268,1.0968027555599562,0.47057182089882943,1.0894016125428934,0.8409393694456222,1.4260185991790428,0.5850792297334206
100m 미만,4,315,113925,-0.1519278253974547,-0.6341148543932869,0.4437476567585582,1.077862511151845,0.8513677474853496,0.6429414683836817,1.1054052311422788,0.46246376275859713,1.0892783579672123,0.8604425661483115,1.4068249821385586,0.5463824159902471,113925,0.14403554732853072,-0.3628942213341724,0.6473572085737009,1.0102514299078733,0.848832276781186,0.6300295289721805,1.1003405530198145,0.47031102404763403,1.108725297541657,0.8426031308088515,1.4333031354199721,0.5907000046111206
100m 미만,5,315,113910,-0.14875813316625577,-0.6220880453186803,0.4360580881976819,1.0581461335163622,0.840185578289061,0.6364913429445163,1.1113048951622837,0.47481355221776744,1.0687783332853802,0.8554293055359294,1.4168157591178792,0.5613864535819497,113910,0.15464392486373227,-0.3424312836661543,0.6480085695431963,0.9904398532093506,0.8559113145936699,0.6338669110503109,1.09705885439631,0.4631919433459991,1.106855526259161,0.8363223328589892,1.4422037833301173,0.6058814504711282
100m 미만,6,315,113906,-0.16305213502281332,-0.6215751864773202,0.4189377278616939,1.0405129143390142,0.8496159832279618,0.6262227511471994,1.113209585660705,0.48698683451350555,1.0767341238795238,0.8376094933475728,1.3984519406507305,0.5608424473031577,113906,0.14425779125548804,-0.3534096155889278,0.6356003535014297,0.9890099690903575,0.8454405975815728,0.6317913537541567,1.0827971236881997,0.45100576993404295,1.1069080195848824,0.8273748512024174,1.4353292004482707,0.6079543492458533
100m 미만,7,315,113924,-0.176286763890412,-0.5628132256202018,0.3583782747403613,0.9211915003605631,0.789344259101361,0.615426219546614,1.0592767559327425,0.4438505363861285,1.0359486247586294,0.8197619795425353,1.3555132793623357,0.5357512998198004,113924,0.13755313682939058,-0.3637613165921322,0.5826433472666533,0.9464046638587855,0.8030148677950891,0.6078934426927073,1.0303877543679714,0.4224943116752641,1.0623696398541214,0.8043753303126409,1.3638736164161651,0.5594982861035243
100m 미만,8,315,113895,-0.14435699404883248,-0.5056301908424521,0.22650372010654252,0.7321339109489946,0.7503423801300362,0.5866562578085557,0.995869054480073,0.40921279667151733,0.9956235708344168,0.7810012462343423,1.2754665619306185,0.49446531569627616,113895,0.07714512201901032,-0.2839565048625655,0.4702475587823289,0.7542040636448943,0.7415792666025302,0.5775478033477285,0.9345919887060663,0.3570441853583378,0.9976926805270361,0.7725948817075627,1.235063865903565,0.46246898419600235
100m 미만,9,315,113958,-0.1587899715787112,-0.48992220549323806,0.1482502661682637,0.6381724716615018,0.7000454142283298,0.5703881023778927,0.8975315883812154,0.32714348600332266,0.9176411527268542,0.7384775085758092,1.1494701693389269,0.4109926607631177,113958,0.05085949758400298,-0.22765682973969043,0.3415074241688678,0.5691642539085582,0.6753936878285145,0.5553651203578187,0.8466928212884701,0.2913277009306514,0.882597721744124,0.7189431739500529,1.114902233699946,0.395959059749893
